"Ntsb_No","Event_Type","Mkey","Event_Date","City","State","Country","Report_No","N","Has_Safety_Rec","Report_Type","Original_Publish_Date","Highest_Injury_Level","Fatal_Injury_Count","Serious_Injury_Count","Minor_Injury_Count","Probable_Cause","Event_ID","Latitude","Longitude","Make","Model","AirCraft_Category","Airport_ID","Airport_Name","Amateur_Built","Number_Of_Engines","Scheduled","Purpose_Of_Flight","FAR","AirCraft_Damage","Weather_Condition","Operator","Report_Status","Rep_Gen_Flag","Docket_Url","Docket_Publish_Date","event_year","operator_type","sms_keywords"
"ERA20LA221","ACC","101463",2020-01-24,"San Juan","Puerto Rico","United States",NA,"N373ML","FALSE","DirectorBrief","2022-04-01T04:00:00Z","None","0","0","0","The pilot’s loss of control during landing on a wet runway after encountering standing water.",NA,"18.46","-66.09","GULFSTREAM","150","AIR","TJIG","FERNANDO LUIS RIBAS DOMINICCI","FALSE","2",NA,"PERS","91","Substantial","VMC","Eagle Air","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101463","2022-03-14 19:00:00",2020,"Other","Operational"
"DCA20CA049","ACC","100791",2020-01-08,"New York","New York","United States",NA,"N929NN","FALSE","DirectorBrief","2020-06-08T04:00:00Z","None","0","0","0","failure of the deicing truck driver to maintain appropriate clearance from the airplane.",NA,"40.78","-73.87","Boeing","737","AIR","KLGA","LaGuardia Airport","FALSE","2","SCHD",NA,"121","Substantial","Unknown","American Airlines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100791","2020-07-14 05:24:00",2020,"Commercial","Environmental"
"ERA20CA073","ACC","100793",2020-01-03,"San Juan","Puerto Rico","United States",NA,"N805D","FALSE","DirectorBrief","2020-06-16T04:00:00Z","None","0","0","0","The pilot's failure to maintain a proper descent rate during landing, which resulted in a hard landing short of the runway.",NA,"18.44","-66","BEECH","HAWKER 900XP","AIR","SIG","Fernando Luis Ribas Dominicci","FALSE","2",NA,"EXEC","91","Substantial","IMC","Pro Pilot","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100793","2020-04-13 16:14:00",2020,"Other","Technical"
"WPR20FA051","ACC","100738",2019-12-27,"Santa Monica","California","United States",NA,"N52CV","FALSE","DirectorBrief","2022-12-07T05:00:00Z","None","0","0","0","The improper design of the audio interface system, which caused an electrical short circuit that led to a ground fire.",NA,"34.01","-118.45","Cirrus","SF50","AIR","SMO","Santa Monica Muni","FALSE","1","NSCH","PERS","91","Substantial","VMC",NA,"Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100738","2022-11-17 12:00:00",2019,"Other","Other"
"DCA20LA047","ACC","100783",2019-12-22,"Denver","Colorado","United States",NA,"N87513","FALSE","DirectorBrief","2022-09-30T04:00:00Z","None","0","0","0","Maintenance personnel’s excessive grinding of the left main landing gear’s aft trunnion pin during its initial overhaul, which caused heat damage to the base metal and led to the fatigue crack that caused the pin to fail during the accident flight. Contributing to the accident was the failure of maintenance personnel to detect the excessive grinding during the initial overhaul and the fatigue crack during the subsequent overhaul.",NA,"39.75","-105","BOEING","737-824","AIR","DEN","Denver International","FALSE","2","SCHD",NA,"121","Substantial","VMC","United Airlines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100783","2024-04-05 21:00:00",2019,"Commercial","Technical"
"DCA20CA050","ACC","100797",2019-12-21,"Kansas City","Missouri","United States",NA,"N7739A","FALSE","DirectorBrief","2022-04-28T04:00:00Z","None","0","0","0","a bird strike during descent",NA,"39.1","-94.48","Boeing","737","AIR","MCI","Kansas City Intl","FALSE","2","SCHD",NA,"121","Substantial","VMC","Southwest Airlines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100797","2022-08-10 04:00:00",2019,"Commercial","Other"
"CEN20LA041","ACC","100722",2019-12-18,"Scotts Bluff","Nebraska","United States",NA,"CGOJG","FALSE","DirectorBrief","2022-04-06T04:00:00Z","None","0","0","0","The installation of incorrect mounting hardware to secure the right engine cowl, which resulted in an in-flight separation and impact with the horizontal stabilizer and elevator.",NA,"41.86","-103.66","CESSNA","525A","AIR",NA,NA,"FALSE","2","NSCH","EXEC","NUSN","Substantial","VMC","C-GHGR","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100722","2022-03-22 04:00:00",2019,"Other","Technical"
"CEN20LA028","ACC","100651",2019-12-03,"Detroit","Michigan","United States",NA,"N469RJ","FALSE","DirectorBrief","2022-03-30T04:00:00Z","None","0","0","0","The pilots’ failure to increase approach speed as recommended for flight in icing conditions, which resulted in an aerodynamic stall and subsequent impact with terrain. Contributing to the accident was the failure of the stall warning system to advise the crew of the approaching stall.",NA,"42.41","-83.01","BAE","BAE125","AIR","DET","COLEMAN A YOUNG MUNI","FALSE","2","NSCH",NA,"135","Substantial","VMC","Business Jet Managers Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100651","2022-03-15 04:00:00",2019,"Commercial","Environmental"
"DCA20LA013","ACC","100545",2019-11-11,"Chicago","Illinois","United States",NA,"N619AE","FALSE","DirectorBrief","2023-02-06T05:00:00Z","None","0","0","0","The flight crew’s inability to maintain the airplane on the runway centerline after touchdown due to the reduced braking action resulting from the deteriorating weather conditions, which caused the airplane’s departure from the runway surface.  Contributing to the accident were the delay in performing the runway assessment for undetermined reasons and failure to close the runway.  Also contributing to the accident was the controller’s failure to advise the accident flight crew that braking action was no longer consistent with the previously published notice to air mission, which described braking action as good across all three runway zones.",NA,"41.58","-87.54","Embraer","EMB145","AIR","KORD","Chicago O'Hare","FALSE","2","SCHD",NA,"121","Substantial","IMC","Envoy Air Inc.","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100545","2022-12-15 22:00:00",2019,"Other","Environmental"
"ERA20LA008","ACC","100403",2019-10-08,"Fort Myers","Florida","United States",NA,"N86MN","FALSE","DirectorBrief","2021-01-28T05:00:00Z","None","0","0","0","Maintenance personnel's improper installation of the nose landing gear assembly, which resulted in separation of the actuator arm and the failure of a nose landing gear to lock in place.",NA,"26.53","-81.76","Raytheon","HAWKER","AIR","RSW","Southwest Florida Intl","FALSE","2","NSCH",NA,"135","Substantial","VMC","Delta Private Jets","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100403","2020-05-27 12:06:00",2019,"Commercial","Technical"
"DCA19CA223","ACC","101376",2019-09-11,"Chicago OHare","Illinois","United States",NA,"N710SK, N765SK","FALSE","DirectorBrief","2022-02-24T05:00:00Z","None","0","0","0","the tug driver's inability to maintain visual contact with the wing walkers and lack of situational awareness during pushback.",NA,"41.98","-87.91","Bombardier, Bombardier","CL 600 2C10, CL 600 2C10","AIR,AIR","ORD","Chicago O'Hare Intl","FALSE,FALSE","2,","SCHD",",","121121","Substantial,Substantial","VMC","SkyWest Airlines,SkyWest Airlines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=101376","2024-04-01 16:00:00",2019,"Commercial","Other"
"WPR19FA230","ACC","100109",2019-08-21,"Oroville","California","United States",NA,"N91GY","FALSE","DirectorBrief","2022-05-17T04:00:00Z","None","0","0","0","The pilot’s failure to release the parking brake before attempting to initiate the takeoff, which produced an unexpected retarding force and airplane nose down pitching moment. Also causal was the flight crew’s delayed decision to abort the takeoff, which resulted in a runway excursion. Contributing to the accident was the lack of a NO TAKEOFF annunciation warning that the parking brake was engaged, and lack of a checklist item to ensure the parking brake was fully released immediately before takeoff.",NA,"39.5","-121.62","Cessna","560XL","AIR","OVE","Oroville Municipal","FALSE","2","NSCH",NA,"135","Destroyed","VMC","Delta Private Jets","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=100109","2022-03-07 12:00:00",2019,"Commercial","Human Factors"
"DCA19LA193","ACC","100023",2019-08-08,"Orlando","Florida","United States",NA,"N717FR","FALSE","DirectorBrief","2022-05-03T04:00:00Z","None","0","0","0","Encountering gusty conditions at a low altitude during landing and the crew’s decision to do a go-around at a low altitude with an excessive rotation rate.",NA,"28.42","-81.3","Airbus","A321","AIR","MCO","ORLANDO INTERNATIONAL AIRPORT","FALSE","2","SCHD",NA,"121","Substantial","VMC","Frontier Airlines","Completed","FALSE",NA,NA,2019,"Commercial","Other"
"DCA19CA192","ACC","100018",2019-08-06,"SFO International Airport","California","United States",NA,"N37437, N432UA","FALSE","DirectorBrief","2022-02-24T05:00:00Z","None","0","0","0","the ramp controller directing a Boeing 737 to hold in a location that was marked for a regional jet.",NA,"37.62","-122.39","Boeing, Airbus","737, A320","AIR,AIR","SFO","SAN FRANCISCO INTL","FALSE,FALSE","2,2","SCHD",",","121121","Minor,Substantial","VMC","UNITED AIR LINES INC,UNITED AIR LINES INC","Completed","FALSE",NA,NA,2019,"Other","Other"
"DCA19CA186","ACC","99936",2019-07-23,"San Francisco","California","United States",NA,"N57852","FALSE","DirectorBrief","2022-03-01T05:00:00Z","None","0","0","0","failure of the ground crew to maintain clearance from the parked airplane during pushback.",NA,"37.77","-122.43","Boeing","757","AIR","KSFO","San Francisco International","FALSE","2","SCHD",NA,"121","Substantial","VMC","United Airlines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=99936","2022-02-25 05:00:00",2019,"Commercial","Technical"
"GAA19CA467","ACC","99967",2019-07-12,"Orlando","Florida","United States",NA,"N262BK","FALSE","DirectorBrief","2020-04-13T04:00:00Z","None","0","0","0","The airplane’s impact with a bird during approach.",NA,"28.55","-81.33","Cessna","525","AIR","ORL","EXECUTIVE","FALSE","2",NA,"PERS","91","Substantial","VMC","Omicron Business Services Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=99967","2019-10-18 12:23:00",2019,"Other","Other"
"DCA19CA167","ACC","99634",2019-06-15,"Newark","New Jersey","United States",NA,"N26123","FALSE","DirectorBrief","2022-02-24T05:00:00Z","None","0","0","0","an improper landing flare, which resulted in a bounced landing and substantial damage.",NA,"40.69","-74.17","Boeing","757","AIR","KEWR","Newarl International","FALSE","2","SCHD",NA,"121","Substantial","VMC","United Airlines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=99634","2022-02-25 05:00:00",2019,"Commercial","Other"
"DCA19CA169","ACC","99668",2019-06-09,"Denver","Colorado","United States",NA,"N75436","FALSE","DirectorBrief","2022-02-24T05:00:00Z","None","0","0","0","the early initiation of the landing flare that resulted in a high pitch attitude and tailstrike.",NA,"39.86","-104.67","Boeing","737","AIR","DEN","Denver Intl","FALSE","2","SCHD",NA,"121","Substantial","VMC","UNITED AIR LINES INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=99668","2024-04-01 16:00:00",2019,"Other","Other"
"DCA19LA134","ACC","99240",2019-04-10,"New York","New York","United States",NA,"N114NN","FALSE","DirectorBrief","2022-07-22T04:00:00Z","None","0","0","0","The captain’s excessive left rudder pedal input during the takeoff ground roll, which caused a large heading deviation and a left roll upon rotation that resulted in the left wingtip striking the ground.",NA,"40.64","-73.78","Airbus","A321","AIR","JFK","John F Kennedy Intl","FALSE","2","SCHD",NA,"121","Substantial","VMC","American Airlines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=99240","2022-06-14 12:00:00",2019,"Commercial","Other"
"DCA19CA130","ACC","99199",2019-03-27,"Nashville","Tennessee","United States",NA,"N249WN","FALSE","DirectorBrief","2019-08-23T04:00:00Z","None","0","0","0","a collision with a bird.",NA,"36.12","-86.68","Boeing","737","AIR","KBNA","Nashville International Airpor","FALSE","2","SCHD",NA,"121","Substantial","VMC","Southwest Airlines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=99199","2019-08-26 14:22:00",2019,"Commercial","Other"
"ERA19TA133","ACC","99149",2019-03-13,"Sanford","Florida","United States",NA,"N220CM","FALSE","DirectorBrief","2020-12-03T05:00:00Z","None","0","0","0","The pilot's failure to keep the airplane on the taxiway while taxiing at night. Contributing to the accident was a miscommunication between the flight crewmembers about the position of the airplane.",NA,"28.78","-81.24","Cessna","650","AIR","SFB","Orlando Sanford International","FALSE","2",NA,"PERS","91","Substantial","VMC","Rp Sales And Leasing Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=99149","2019-04-15 11:51:00",2019,"Other","Human Factors"
"DCA19CA105","ACC","99088",2019-03-10,"Atlanta","Georgia","United States",NA,"N3756, N591NW","FALSE","DirectorBrief","2022-02-24T05:00:00Z","None","0","0","0","failure of the B737 captain to maintain separation with the airplane stopped on the taxiway.",NA,"33.64","-84.43","Boeing, Boeing","737, 757","AIR,AIR","KATL","Hartsfield-Jackson Atlanta International","FALSE,FALSE","2,2","SCHD",",","121121","Minor,Substantial","VMC","Delta Air Lines,Delta Air Lines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=99088","2024-03-29 11:00:00",2019,"Other","Technical"
"ERA19TA122","ACC","99097",2019-03-09,"Chamblee","Georgia","United States",NA,"N505GF","FALSE","DirectorBrief","2020-12-03T05:00:00Z","None","0","0","0","The flight crew’s incorrect glidepath and flare to landing, which resulted in a landing area undershoot and the main landing gear’s collision with the runway threshold.",NA,"33.87","-84.3","Gulfstream","GIV","AIR","PDK","Dekalb-Peachtree","FALSE","2",NA,"EXEC","91","Substantial","VMC","Waffle House Inc.","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=99097","2019-10-21 12:40:00",2019,"Other","Operational"
"ENG19IA013","INC","99006",2019-02-21,"Orlando","Florida","United States",NA,"N30401","FALSE","DirectorBrief","2020-04-27T04:00:00Z","None","0","0","0","A No. 1 (left) engine high pressure compressor stage 2 blade separation. The blade separated due to a mixed-mode fatigue crack that originated on a blade disk post and was initiated by a misaligned (out-of-schedule) high pressure compressor stage 1 variable stator vane that was missing a washer and retaining nut on the vane trunnion stem.",NA,"28.43","-81.31","Boeing","737","AIR",NA,NA,"FALSE","2","SCHD",NA,"121","None","Unknown","UNITED AIR LINES INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=99006","2020-04-15 14:28:00",2019,"Other","Technical"
"CEN19LA090","ACC","99038",2019-02-11,"Richmond","Indiana","United States",NA,"N750TA","FALSE","DirectorBrief","2021-05-06T04:00:00Z","None","0","0","0","The flight crew's decision to continue an unstable approach under conditions that exceeded the airplane's landing performance capabilities, which resulted in a runway overrun and impact with terrain.",NA,"39.75","-84.85","Beech","400","AIR","RID","Richmond Muni","FALSE","2",NA,"BUS","91","Substantial","IMC","Stein's Aircraft Services, LLC","Completed","FALSE",NA,NA,2019,"Other","Operational"
"DCA19LA070","ACC","98914",2019-01-29,"Tuscaloosa","Alabama","United States",NA,"N720CK","FALSE","DirectorBrief","2020-03-13T04:00:00Z","None","0","0","0","the captain's decision to continue the landing with an unsafe gear indication.",NA,"33.22","-87.61","Boeing","727 200","AIR","KTCL","Tuscaloosa Regional Airport","FALSE","3","NSCH",NA,"121","Substantial","VMC","Kalitta Charters Ii Llc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=98914","2019-11-21 20:08:00",2019,"Other","Other"
"DCA19CA079","ACC","98963",2019-01-28,"Denver","Colorado","United States",NA,"N220FR","FALSE","DirectorBrief","2022-03-01T05:00:00Z","None","0","0","0","loss of control of the tug by the driver during pushback operations as a result of the contaminated ramp, angle of the towbar, and the airplane engines being at idle thrust.",NA,"39.86","-104.67","Airbus","A320","AIR","KDIA","Denver International","FALSE","2","SCHD",NA,"121","Substantial","VMC","Frontier Airlines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=98963","2022-02-25 05:00:00",2019,"Commercial","Technical"
"CEN19LA054","ACC","98838",2019-01-12,"Uvalde","Texas","United States",NA,"N813WT","FALSE","DirectorBrief","2020-06-29T04:00:00Z","None","0","0","0","The airplane’s encounter with wind shear on short final approach to the runway, which resulted in a hard landing and fracture of the right main landing gear.",NA,"29.46","-100.11","Canadair","CL 600 2A12","AIR","01TX","Ox Ranch","FALSE","2",NA,"BUS","91","Substantial","VMC","Tw 601-C Investment Llc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=98838","2020-04-13 14:40:00",2019,"Other","Environmental"
"DCA19CA066","ACC","98874",2018-12-31,"Charlotte","North Carolina","United States",NA,"N938UW","FALSE","DirectorBrief","2020-04-22T04:00:00Z","None","0","0","0","an inadvertent loss of airspeed and increased pitch attitude prior to touchdown.",NA,"35.21","-80.95","Boeing","757","AIR","KCLT","Charlotte Douglas","FALSE","2","SCHD",NA,"121","Substantial","IMC","American Airlines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=98874","2020-04-29 07:01:00",2018,"Commercial","Other"
"ERA19LA073","ACC","98796",2018-12-15,"Key West","Florida","United States",NA,"N55FN","FALSE","DirectorBrief","2022-03-04T05:00:00Z","None","0","0","0","The flight crew’s encounter with windshear during the landing flare, which resulted in a hard landing.",NA,"24.56","-81.75","Learjet","35","AIR","EYW","KEY WEST INTL","FALSE","2",NA,"POSI","91","Substantial","IMC","Medway Air Ambulance","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=98796","2022-02-23 20:00:00",2018,"Other","Environmental"
"DCA19IA036","INC","98737",2018-12-06,"Burbank","California","United States",NA,"N752SW","FALSE","DirectorBrief","2022-07-20T04:00:00Z","None","0","0","0","(1) The flight crewmembers’ decision, due to plan continuation bias, to continue the approach despite indications of windshear and a higher-than-expected tailwind and (2) the flight crew’s misperception of the airplane’s touchdown point, which was farther down the runway than the crew assumed because of the faster-than-expected groundspeed. Contributing to the accident was Southwest Airlines’ lack of guidance to prompt flight crews to reassess operator-provided landing data when arrival weather conditions differ from those used in the original landing data calculation.",NA,"34.2","-118.36","Boeing","737","AIR","BUR","Bob Hope Airport","FALSE","2","SCHD",NA,"121","Minor","IMC","Southwest Airlines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=98737","2021-02-11 18:00:00",2018,"Commercial","Environmental"
"WPR18LA267","ACC","98316",2018-09-14,"Reno","Nevada","United States",NA,"N139UK, N139PJ","FALSE","DirectorBrief","2020-06-08T04:00:00Z","None","0","0","0","The pilot of the race 13 airplane's failure to maintain clearance from the race 37 airplane during the closed course air race.",NA,"39.71","-119.87","Aero Vodochody, Aero Vodochody","L39, L 39","AIR,AIR","RTS","RENO/STEAD","FALSE,FALSE",",",NA,"ASHO,ASHO","91091","Minor,Substantial","VMC",",","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=98316","2020-01-14 20:36:00",2018,"Other","Technical"
"DCA18CA283","ACC","98238",2018-08-13,"Los Angeles","California","United States",NA,"N204HA","FALSE","DirectorBrief","2021-06-03T04:00:00Z","None","0","0","0","a tailstrike caused by inappropriate recovery technique after a bounced landing.  Contributing to the accident was the failure of the radio altimeter, caused by the approach being over calm/flat water, that was not recognized by the flight crew.",NA,"33.94","-118.41","AIRBUS","A321-271N","AIR","LAX","Los Angeles International","FALSE","2","SCHD",NA,"121","Substantial","VMC","Hawaiian Airlines Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=98238","2021-07-13 04:00:00",2018,"Commercial","Technical"
"DCA18IA265","INC","98050",2018-08-10,"Philadelphia","Pennsylvania","United States",NA,"N619A","FALSE","DirectorBrief","2022-05-27T04:00:00Z","None","0","0","0","The flight crew’s misalignment of the airplane with a taxiway instead of the assigned runway, resulting in a low-altitude go-around late in the final approach and reduced separation with the airplanes on the taxiway.",NA,"39.95","-75.17","Gulfstream","G IV","AIR","PHL","Philadelphia International","FALSE","2","NSCH",NA,"135","None","VMC","Pegasus Elite Aviation","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=98050","2024-03-29 11:00:00",2018,"Other","Operational"
"DCA18CA266","ACC","98079",2018-07-31,"Philadelphia","Pennsylvania","United States",NA,"N192AN","FALSE","DirectorBrief","2021-06-08T04:00:00Z","None","0","0","0","The captain's improper control of the airplane during the landing flare.",NA,"39.87","-75.24","Boeing","757","AIR","KPHL","Philadelphia Int'l","FALSE","2","SCHD",NA,"121","Substantial","VMC","American Airlines","Completed","FALSE",NA,NA,2018,"Commercial","Other"
"DCA18CA252","ACC","97898",2018-07-27,"Portsmouth","New Hampshire","United States",NA,"N641GT","FALSE","DirectorBrief","2021-06-08T04:00:00Z","None","0","0","0","an improper landing flare technique and the lack of the appropriate bounced landing recovery procedure.",NA,"43.08","-70.82","Boeing","767","AIR","PSM","Portsmouth Intl At Pease","FALSE","2","NSCH",NA,"121","Substantial","VMC","Atlas Air Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=97898","2021-07-13 04:00:00",2018,"Other","Human Factors"
"GAA18CA435","ACC","97863",2018-07-23,"Tulsa","Oklahoma","United States",NA,"N866VP","FALSE","DirectorBrief","2019-03-18T04:00:00Z","None","0","0","0","The airplane’s collision with a bird during approach.",NA,"36.2","-95.88","Cessna","560","AIR","TUL","TULSA INTL","FALSE","2",NA,"POSI","91","Substantial","VMC","Burgess Aircraft Management, LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=97863","2018-10-30 20:16:00",2018,"Other","Other"
"ANC18LA049","ACC","97627",2018-06-26,"Salt Lake City","Utah","United States",NA,"N57","FALSE","DirectorBrief","2021-05-25T04:00:00Z","None","0","0","0","The flight crew’s failure to fully disengage the parking brake before taxi, which resulted in a brake fire.",NA,"40.79","-111.98","LEARJET INC","60","AIR","SLC","SALT LAKE CITY INTL","FALSE","2","NSCH",NA,"135","Substantial","VMC","FEDERAL AVIATION ADMINISTRATION","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=97627","2021-03-12 13:00:00",2018,"Other","Technical"
"WPR18CA172","ACC","97502",2018-06-14,"Sacramento","California","United States",NA,"N2165","FALSE","DirectorBrief","2019-04-08T04:00:00Z","None","0","0","0","The pilot’s failure to extend the landing gear before landing. Contributing to the accident was the pilot’s and the flight instructor’s failure to adequately monitor the workload.",NA,"38.56","-121.3","DORNIER GMBH","ALPHA JET","AIR","MHR","Sacramento Mather","FALSE","2",NA,"INST","91","Substantial","VMC","Blue City Holding LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=97502","2019-02-12 12:25:00",2018,"Other","Technical"
"DCA18WA177","INC","97213",2018-05-08,"Guayaquil",NA,"United States",NA,"N342AN","FALSE","None",NA,"None","0","0","0",NA,NA,"0","0","Boeing","767","AIR",NA,NA,"FALSE","2","SCHD",NA,"121","Minor",NA,"American Airlines","N/A","FALSE",NA,NA,2018,"Commercial","Other"
"DCA18CA169","ACC","97175",2018-05-07,"Baltimore","Maryland","United States",NA,"N8655D","FALSE","DirectorBrief","2018-09-05T04:00:00Z","None","0","0","0","The maintenance truck driver's failure to give way to the airplane that resulted in the truck colliding with the taxiing aircraft.",NA,"39.18","-76.67","BOEING","737-8H4","AIR","KBWI","Baltimore/Thurgood Marshall In","FALSE","2","SCHD",NA,"121","Substantial","VMC","SOUTHWEST AIRLINES CO","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=97175","2018-08-13 13:17:00",2018,"Commercial","Technical"
"DCA18CA165","ACC","97158",2018-05-01,"Queens","New York","United States",NA,"N606LR, N172DN","FALSE","DirectorBrief","2020-07-08T04:00:00Z","None","0","0","0","the failure of the captain of Delta 212 to ensure adequate clearance while taxiing behind Endeavor 3413.",NA,"40.64","-73.78","BOMBARDIER INC, BOEING","CL600 2D24, 767 332","AIR,AIR","JFK","John F Kennedy Intl","FALSE,FALSE","2,2","SCHD",",","121121","Substantial,Minor","VMC","Endeavor Air,Delta Air Lines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=97158","2020-10-09 18:31:00",2018,"Other","Technical"
"DCA18FA144","ACC","97072",2018-04-20,"Alexandria","Louisiana","United States",NA,"N807WA","FALSE","DirectorBrief","2020-07-08T04:00:00Z","None","0","0","0","the failure of the right main landing gear under normal loads due to fatigue cracking in an area subject to an FAA Airworthiness Directive that was not adequately inspected.",NA,"31.33","-92.55","MCDONNELL DOUGLAS","DC 9 83(MD-83)","AIR","KAEX","Alexandria International","FALSE","2","NSCH",NA,"121","Substantial","VMC","Caribbean Sun Airlines Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=97072","2021-07-13 04:00:00",2018,"Commercial","Technical"
"DCA18LA163","ACC","97065",2018-04-18,"Atlanta","Georgia","United States",NA,"N806NW","FALSE","DirectorBrief","2022-05-10T04:00:00Z","None","0","0","0","The flight crew’s delayed landing after an in-flight engine fire, which reignited after both fire bottles were discharged and resulted in substantial damage to an engine pylon. Contributing to the delayed landing was likely the flight crew’s perception that the fire had been extinguished due to the disappearance of the primary engine fire warning indications after the fire detection loops were damaged and that a landing as soon as possible was not perceived to be necessary. Contributing to the duration of the fire was the contamination of an engine fire isolation system component which resulted in hydraulic fluid leaking into the designated engine fire zone after the engine was shutdown and the fire button was pressed.",NA,"33.65","-84.44","AIRBUS","A330 323","AIR","ATL","Hartsfield-Jackson","FALSE","2","SCHD",NA,"121","Substantial","VMC","Delta Air Lines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=97065","2021-10-01 21:00:00",2018,"Other","Technical"
"DCA18IA092","INC","96738",2018-02-13,"Honolulu","Hawaii","United States",NA,"N773UA","FALSE","DirectorBrief","2020-06-29T04:00:00Z","None","0","0","0","the fracture of a fan blade due to P&W's continued classification of the TAI inspection process as a new and emerging technology that permitted them to continue accomplishing the inspection without having to develop a formal, defined initial and recurrent training program or an inspector certification program.  The lack of training resulted in the inspector making an incorrect evaluation of an indication that resulted in a blade with a crack being returned to service where it eventually fractured.  Contributing to the fracture of the fan blade was the lack of feedback from the process engineers on the fan blades the inspectors sent to the process engineers for evaluation of indications that they had found.",NA,"21.32","-157.92","BOEING","777 222","AIR","KHNL","Honolulu","FALSE","2","SCHD",NA,"121","Minor","VMC","UNITED AIRLINES INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=96738","2018-11-14 13:00:00",2018,"Commercial","Human Factors"
"CEN18LA094","ACC","96719",2018-02-04,"Cleveland","Ohio","United States",NA,"N570TM","FALSE","DirectorBrief","2019-11-06T05:00:00Z","None","0","0","0","The airplane's reduced braking performance due to an ice-covered runway, which resulted in a runway excursion. Contributing to the accident was the crew's selection of a runway with a tailwind.",NA,"41.52","-81.68","RAYTHEON AIRCRAFT COMPANY","400A","AIR","KBKL","Burke Lakefront","FALSE","2","NSCH",NA,"135","Substantial","IMC","Travel Management, Inc","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=96719","2019-06-24 19:02:00",2018,"Other","Environmental"
"DCA18CA043","ACC","96472",2017-12-03,"Miami","Florida","United States",NA,"N9011P, N344PP","FALSE","DirectorBrief","2018-09-05T04:00:00Z","None","0","0","0","The failure of the flight crew of N9011P to maintain an appropriate clearance from N344PP, which was stopped on the taxiway.",NA,"25.79","-80.29","AIRBUS, BOEING","A319 115, 737 800","AIR,AIR","MIA","Miami International","FALSE,FALSE","2,2","SCHD",",","121121","Minor,Substantial","VMC","American Airlines,American Airlines","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=96472","2018-08-21 19:59:00",2017,"Commercial","Technical"
"DCA18IA026","INC","96406",2017-11-29,"Atlanta","Georgia","United States",NA,"N852DN","FALSE","DirectorBrief","2022-05-10T04:00:00Z","None","0","0","0","The flight crewmembers’ failure to properly monitor the airplane’s flightpath, which caused the approach to become unstabilized and resulted in the airplane’s descent below the decision altitude while misaligned with the localizer course. Contributing to the incident were the first officer’s delay in setting go-around thrust after the captain called for the go-around and the captain’s failure to take control of the airplane after go-around thrust was not immediately set, both of which caused the airplane to come within about 50 ft vertically of an occupied taxiway.",NA,"33.64","-84.43","BOEING","737-932ER","AIR","KATL","Atlanta-Hartsfield Internation","FALSE","2","SCHD",NA,"121","None","IMC","Delta Air Lines","Completed","FALSE",NA,NA,2017,"Other","Technical"
